country,date,diesel,diff_diesel,diff_e5,e5,index
Austria,2021-03-01,1.147,0.15700000000000003,0.30499999999999994,1.181,0
Austria,2021-03-08,1.156,0.16100000000000003,0.31000000000000005,1.196,0
Austria,2021-03-15,1.168,0.15700000000000003,0.30800000000000005,1.216,0
Austria,2021-03-22,1.163,0.1479999999999999,0.29899999999999993,1.209,0
Austria,2021-03-29,1.167,0.14100000000000001,0.29899999999999993,1.214,0
Austria,2021-04-12,1.163,0.14500000000000002,0.29899999999999993,1.218,0
Austria,2021-04-19,1.168,0.14200000000000013,0.30099999999999993,1.225,0
Austria,2021-04-26,1.17,0.14000000000000012,0.29000000000000004,1.232,0
Austria,2021-05-03,1.173,0.1419999999999999,0.29000000000000004,1.236,0
Austria,2021-05-10,1.19,0.125,0.272,1.254,0
Austria,2021-05-17,1.187,0.1419999999999999,0.29200000000000004,1.246,0
Austria,2021-05-24,1.186,0.15100000000000002,0.2979999999999998,1.243,0
Austria,2021-05-31,1.188,0.15500000000000003,0.30299999999999994,1.245,0
Austria,2021-06-07,1.194,0.15700000000000003,0.29899999999999993,1.25,0
Austria,2021-06-14,1.203,0.15799999999999992,0.30300000000000016,1.253,0
Austria,2021-06-21,1.213,0.15500000000000003,0.29700000000000015,1.267,0
Austria,2021-06-28,1.224,0.15599999999999992,0.30899999999999994,1.278,0
Austria,2021-07-05,1.227,0.15799999999999992,0.31100000000000017,1.283,0
Austria,2021-07-12,1.245,0.1469999999999998,0.29600000000000004,1.307,0
Austria,2021-07-19,1.239,0.15999999999999992,0.30299999999999994,1.312,0
Austria,2021-07-26,1.243,0.1519999999999999,0.29600000000000004,1.317,0
Austria,2021-08-02,1.249,0.1509999999999998,0.29400000000000004,1.329,0
Austria,2021-08-09,1.248,0.14300000000000002,0.2909999999999999,1.33,0
Austria,2021-08-16,1.248,0.1439999999999999,0.29499999999999993,1.328,0
Austria,2021-08-23,1.24,0.13400000000000012,0.2829999999999999,1.32,0
Austria,2021-08-30,1.252,0.1379999999999999,0.29000000000000004,1.326,0
Austria,2021-09-06,1.25,0.14500000000000002,0.30100000000000016,1.323,0
Austria,2021-09-13,1.252,0.14900000000000002,0.30400000000000005,1.325,0
Austria,2021-09-20,1.259,0.16100000000000003,0.31499999999999995,1.321,0
Austria,2021-09-27,1.277,0.16000000000000014,0.30800000000000005,1.325,0
Austria,2021-10-04,1.307,0.16700000000000004,0.32499999999999996,1.342,0
Austria,2021-10-11,1.353,0.16900000000000004,0.32000000000000006,1.382,0
Austria,2021-10-18,1.38,0.18000000000000016,0.3320000000000001,1.398,0
Austria,2021-10-25,1.398,0.17100000000000004,0.3310000000000002,1.404,0
Austria,2021-11-01,1.402,0.16900000000000004,0.3320000000000001,1.41,0
Austria,2021-11-08,1.411,0.16399999999999992,0.32499999999999996,1.427,0
Austria,2021-11-15,1.418,0.15500000000000003,0.32200000000000006,1.438,0
Austria,2021-11-22,1.406,0.15500000000000003,0.31600000000000006,1.425,0
Austria,2021-11-29,1.407,0.14300000000000002,0.28800000000000003,1.426,0
Austria,2021-12-06,1.392,0.131,0.258,1.405,0
Austria,2021-12-13,1.388,0.14200000000000013,0.274,1.397,0
Austria,2021-12-20,1.389,0.129,0.2610000000000001,1.398,0
Austria,2022-01-03,1.38,0.19300000000000006,0.32299999999999995,1.395,0
Austria,2022-01-10,1.395,0.17799999999999994,0.31200000000000006,1.406,0
Austria,2022-01-17,1.408,0.19600000000000017,0.31400000000000006,1.418,0
Austria,2022-01-24,1.418,0.19800000000000018,0.31600000000000006,1.427,0
Austria,2022-01-31,1.43,0.21399999999999997,0.33299999999999996,1.439,0
Austria,2022-02-07,1.441,0.22199999999999998,0.33599999999999985,1.453,0
Austria,2022-02-14,1.457,0.20899999999999985,0.3360000000000001,1.47,0
Austria,2022-02-21,1.464,0.19900000000000007,0.32600000000000007,1.478,0
Austria,2022-02-28,1.52,0.21799999999999997,0.345,1.528,0
Austria,2022-03-07,1.719,0.31299999999999994,0.3760000000000001,1.691,0
Austria,2022-03-14,2.023,0.2889999999999997,0.2719999999999998,1.987,0
Austria,2022-03-21,1.828,0.345,0.40600000000000014,1.738,0
Austria,2022-03-28,1.898,0.2809999999999999,0.3699999999999999,1.756,0
Austria,2022-04-04,1.843,0.21499999999999986,0.3400000000000001,1.716,0
Austria,2022-04-11,1.797,0.20200000000000018,0.33699999999999974,1.689,0
Austria,2022-04-25,1.832,0.20700000000000007,0.30999999999999983,1.719,0
