{id=21650201, lat=47.5852728, lon=12.6972646, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=26590967, lat=47.276958, lon=12.7574069, country='AT', city='Kaprun', street='null', housenumber='null', postcode='5710', name='Shell Tankstelle'}
{id=27260497, lat=47.444833, lon=12.2335576, country='null', city='null', street='null', housenumber='null', postcode='null', name='BP'}
{id=27288970, lat=47.5019449, lon=12.0835275, country='null', city='null', street='null', housenumber='null', postcode='null', name='Gutmann'}
{id=32696391, lat=47.9029845, lon=13.5724929, country='null', city='null', street='null', housenumber='null', postcode='null', name='Turmöl'}
{id=34017419, lat=47.5834682, lon=13.15647, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=47740350, lat=48.4644362, lon=14.271488, country='null', city='null', street='null', housenumber='null', postcode='null', name='Avanti'}
{id=60567760, lat=47.37778, lon=9.8904461, country='null', city='null', street='null', housenumber='null', postcode='null', name='Waelderhaus'}
{id=70374969, lat=48.3612904, lon=14.2401497, country='null', city='null', street='null', housenumber='null', postcode='null', name='Genol'}
{id=76558003, lat=48.2664946, lon=13.5660862, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=86923609, lat=47.5515336, lon=10.6708504, country='null', city='null', street='null', housenumber='null', postcode='null', name='Tank Point'}
{id=88114339, lat=48.5017408, lon=13.7359067, country='null', city='Engelszell', street='null', housenumber='null', postcode='4090', name='Sprit'}
{id=89412066, lat=48.5807611, lon=13.50355, country='null', city='null', street='null', housenumber='null', postcode='null', name='Turmöl'}
{id=90507151, lat=47.6617346, lon=12.4129367, country='null', city='null', street='null', housenumber='null', postcode='null', name='BP'}
{id=94593350, lat=47.4832541, lon=12.0289472, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=94600508, lat=47.5063898, lon=12.0659231, country='null', city='null', street='null', housenumber='null', postcode='null', name='disk'}
{id=137569802, lat=47.721845, lon=13.090549, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=146410382, lat=47.6334047, lon=12.2145217, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=208387813, lat=47.3594879, lon=12.799741, country='null', city='null', street='null', housenumber='null', postcode='null', name='Turmöl'}
{id=243721659, lat=47.284585, lon=11.1638056, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=247777479, lat=47.4824519, lon=10.7237577, country='null', city='null', street='null', housenumber='null', postcode='null', name='Jet'}
{id=248086090, lat=47.4902615, lon=12.0736093, country='AT', city='Wörgl', street='null', housenumber='null', postcode='6300', name='OMV'}
{id=248089929, lat=47.4826982, lon=12.058765, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=248089937, lat=47.4816632, lon=12.0568017, country='null', city='null', street='null', housenumber='null', postcode='null', name='Jet'}
{id=248104214, lat=47.327992, lon=11.1986833, country='AT', city='Seefeld in Tirol', street='null', housenumber='null', postcode='6100', name='BP'}
{id=248158552, lat=47.5179979, lon=12.0669701, country='null', city='null', street='null', housenumber='null', postcode='null', name='BP Angath/Süd'}
{id=248662624, lat=47.3868717, lon=13.4514816, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=248960825, lat=47.2741232, lon=11.2389207, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=251876603, lat=47.2216435, lon=9.5760335, country='AT', city='Feldkirch', street='null', housenumber='null', postcode='6800', name='eni'}
{id=253061856, lat=47.3658287, lon=9.6577046, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=253236086, lat=47.2676048, lon=11.234203, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=253239505, lat=47.2618799, lon=11.2644568, country='AT', city='Kematen in Tirol', street='null', housenumber='null', postcode='6175', name='Gutmann'}
{id=253377519, lat=47.3254322, lon=11.1895331, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=253854774, lat=47.5665172, lon=12.1564549, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=255160618, lat=47.3364557, lon=13.3026604, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=255602907, lat=48.3479399, lon=14.1538874, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV'}
{id=255963496, lat=47.2051512, lon=10.8896749, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=256169298, lat=47.81305, lon=13.0694165, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=256300817, lat=47.2690698, lon=10.9397211, country='null', city='null', street='null', housenumber='null', postcode='null', name='eni'}
{id=258401747, lat=48.2909363, lon=14.2776463, country='null', city='Linz', street='null', housenumber='null', postcode='4020', name='Turmöl'}
{id=265624247, lat=47.9580513, lon=13.2366152, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=265624290, lat=47.9567186, lon=13.2347091, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=265980060, lat=47.6472391, lon=12.4045535, country='null', city='Schwendt', street='null', housenumber='null', postcode='6385', name='Bellinger'}
{id=266072736, lat=47.8108735, lon=13.0428037, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell 24h'}
{id=268587101, lat=47.7494396, lon=13.0694891, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=268590618, lat=48.0119321, lon=12.8616539, country='null', city='null', street='null', housenumber='null', postcode='null', name='BP'}
{id=268590635, lat=48.0493709, lon=12.8294386, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=268590638, lat=48.0619306, lon=12.8352988, country='null', city='null', street='null', housenumber='null', postcode='null', name='Lagerhaus'}
{id=268590643, lat=48.0787219, lon=12.8269945, country='null', city='null', street='null', housenumber='null', postcode='null', name='Avia'}
{id=273668945, lat=47.4798283, lon=10.7303481, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=275615953, lat=47.2677821, lon=9.6150358, country='AT', city='Feldkirch', street='null', housenumber='null', postcode='6804', name='OMV'}
{id=276618689, lat=48.3117191, lon=14.2287807, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=276757716, lat=48.3124648, lon=14.2412251, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=278747277, lat=47.2152142, lon=9.7922573, country='AT', city='null', street='null', housenumber='null', postcode='6721', name='Shell'}
{id=280534508, lat=47.8595913, lon=13.0591239, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=280697584, lat=47.1400529, lon=11.4479892, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=280698460, lat=47.1406323, lon=11.4463579, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=280834379, lat=47.2770544, lon=11.4006736, country='null', city='Innsbruck', street='null', housenumber='null', postcode='null', name='Eni'}
{id=280835083, lat=47.2648793, lon=11.3690127, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=280835469, lat=47.2585822, lon=11.3721341, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=281431143, lat=47.7378301, lon=13.0682748, country='AT', city='Anif', street='null', housenumber='null', postcode='5081', name='Jet'}
{id=284491128, lat=47.1847544, lon=11.3999414, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=284681596, lat=47.1962022, lon=11.3975575, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=285494062, lat=47.0144427, lon=11.5058709, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV'}
{id=288162059, lat=48.3193468, lon=13.3277295, country='AT', city='Obernberg am Inn', street='null', housenumber='null', postcode='4982', name='Shell'}
{id=288378147, lat=47.2318018, lon=12.8252824, country='null', city='null', street='null', housenumber='null', postcode='null', name='LM Energy'}
{id=289326043, lat=47.956069, lon=13.2012671, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=289672183, lat=48.1303442, lon=12.8769329, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV'}
{id=290797195, lat=47.4531474, lon=12.1515976, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV'}
{id=292218509, lat=47.5346925, lon=9.752019, country='AT', city='Lochau', street='null', housenumber='null', postcode='6911', name='OMV'}
{id=293250002, lat=47.2381074, lon=11.3111409, country='null', city='null', street='null', housenumber='null', postcode='null', name='Diskont'}
