date,station_uuid,e5
2022-05-15 00:00:09+02,722ed42d-2e89-4f62-91aa-e3e1c32bfeab,2.299
2022-05-15 00:02:09+02,6efb33e3-c8f3-49e1-aad9-6bad567917a3,2.119
2022-05-15 00:02:09+02,902cc046-ef62-43c8-a8c3-044a6375b77e,2.119
2022-05-15 00:04:09+02,00060145-0001-4444-8888-acdc00000001,2.049
2022-05-15 00:05:10+02,cf9bbafa-b256-4de9-8cd3-90156ef7d119,2.129
2022-05-15 00:05:10+02,8fb359e2-de12-4137-b74c-729f5357cdaa,2.129
2022-05-15 00:05:10+02,ef77aedf-2efb-48d6-a7af-543f460068e9,2.119
2022-05-15 00:05:10+02,eec42f8a-ea6f-4e11-9eb2-b134c5269c37,2.129
2022-05-15 00:08:07+02,00196cba-89f0-4577-1e2c-8d450806aab2,2.119
2022-05-15 00:12:06+02,4e49e411-d4ba-4c7c-990b-595bafeef7c5,2.079
2022-05-15 00:12:06+02,11652441-f3fc-4fc9-a87a-664db366b5af,2.229
2022-05-15 00:14:09+02,5a8ff352-856e-451a-b38f-bd17f2b0a13c,2.229
2022-05-15 00:15:10+02,84b67d46-e42b-48b0-b810-582f0993ede4,2.069
2022-05-15 00:16:12+02,8c907fcb-37c7-491a-b3e1-b3f1e86a3552,2.099
2022-05-15 00:16:12+02,84b67d46-e42b-48b0-b810-582f0993ede4,2.069
2022-05-15 00:18:23+02,61ccc531-65ac-46ae-b67f-69a38ce997fb,2.129
2022-05-15 00:26:08+02,f01a2db0-41e9-4eaa-8811-7650bc9f209d,2.229
2022-05-15 00:34:08+02,aa060c54-b9b2-4968-860b-9a1701377a1c,2.189
2022-05-15 00:34:08+02,de556902-f838-4a16-ae90-57497c6b5ea4,2.169
2022-05-15 00:34:08+02,eda0ec37-99da-4c85-981c-311e6867e774,2.189
2022-05-15 00:34:08+02,f2ac519b-3896-44ef-8e35-eef279b8926a,2.189
2022-05-15 00:34:08+02,f64c5891-42a8-4127-816c-1b271f8674d2,2.169
2022-05-15 00:34:08+02,f994d8de-206e-4cd0-a827-7051b269967c,2.209
2022-05-15 00:34:08+02,fd9e51e6-6e86-4dc7-b296-2afc705e1cf9,2.149
2022-05-15 00:34:08+02,0947c43c-cbd6-4eca-9e6f-26d2bbc825ed,2.089
2022-05-15 00:34:08+02,27fdced4-6980-4e99-8ba6-0f940c8881d0,2.189
2022-05-15 00:34:08+02,2821ece8-78be-4ae8-9aeb-bf54a71f1b07,2.189
2022-05-15 00:34:08+02,2a3d0a89-1b8e-4f0f-89d0-e890da5de912,2.159
2022-05-15 00:34:08+02,373e85d2-6084-470e-9b05-b3503248c6a6,2.189
2022-05-15 00:34:08+02,474226be-281f-4545-93d2-acc2f26119bc,2.189
2022-05-15 00:34:08+02,7d9a891f-73cd-4047-b0e5-2cf3a9a0177c,2.149
2022-05-15 00:34:08+02,805325e6-2418-406f-9732-bf7ce2777a60,2.089
2022-05-15 00:34:08+02,843c87b3-9a84-4857-8454-1289c458c2c6,2.099
2022-05-15 00:34:08+02,a1286218-bf60-48fd-bea9-02e81942f463,2.149
2022-05-15 00:36:05+02,01113d91-8f68-451f-a5f4-42225c15eb82,2.139
2022-05-15 00:36:05+02,21e837d5-0eb6-40d2-b30d-7cfa7a0d2b79,2.139
2022-05-15 00:36:05+02,2d8b99ae-956c-4c0c-8dec-852cb12c16fb,2.129
2022-05-15 00:36:05+02,3d43876d-107c-4399-8065-efc704755a63,2.199
2022-05-15 00:36:05+02,3d8645ac-3640-42fe-adb2-2d7cb8129fe5,2.069
2022-05-15 00:36:05+02,4cb10b20-bad4-4013-9b77-0470b52ece3d,2.179
2022-05-15 00:36:05+02,54bcfaa2-d3f3-431c-989b-a71cbfab4dcd,2.169
2022-05-15 00:36:05+02,785b0333-ab0f-4f07-a7cb-42eb0c685783,2.139
2022-05-15 00:36:05+02,a55f894c-b85e-4246-86e0-2e5493465c02,2.159
2022-05-15 00:36:05+02,ad92da60-c744-483c-967a-88748c09d171,2.059
2022-05-15 00:36:05+02,b3193a71-6f82-49d7-bd93-31c82a157d70,2.139
2022-05-15 00:36:05+02,d79aaa34-3ef2-4d17-aeb7-e004b220f903,2.139
2022-05-15 00:36:05+02,de2d3e46-facc-40dc-9b81-f1a22cbeab62,2.159
2022-05-15 00:36:05+02,e97d4dae-187f-4310-bc3d-2c815057e4d9,2.119
2022-05-15 00:36:05+02,f092ab8f-97d3-4146-9c0e-022ffdfecfb9,2.109
2022-05-15 00:36:05+02,fbaff7c7-9e58-4f6e-afcb-58bd0f9679b7,2.139
2022-05-15 00:36:05+02,fd606c1d-2f43-47df-8934-d1ea98871767,2.139
2022-05-15 00:37:08+02,96915c76-348d-4dbc-9ce9-81dbd9bf2f8c,2.089
2022-05-15 00:37:08+02,247a9900-5c05-4949-9ae3-ae5de0668265,2.169
2022-05-15 00:39:12+02,40703eda-e0ec-4cc2-baec-4da729715fb5,2.109
2022-05-15 00:44:09+02,9c1f0bbf-a027-4ac4-a4c6-59675521ec33,2.049
2022-05-15 00:44:09+02,2822fc54-4d03-4a97-a3ab-1b00e04c5f46,2.059
2022-05-15 00:45:09+02,00062462-a0eb-4444-8888-acdc00000001,2.149
2022-05-15 00:46:06+02,da9604b2-7507-4676-906c-25b876617247,2.119
2022-05-15 00:49:09+02,cf9bbafa-b256-4de9-8cd3-90156ef7d119,2.009
2022-05-15 00:49:09+02,ef77aedf-2efb-48d6-a7af-543f460068e9,2.119
2022-05-15 00:49:09+02,bf01d540-215e-4850-a0ac-6131039a46ef,2.169
2022-05-15 00:51:07+02,42ba4c08-7be7-4460-9c9d-0602b762d862,2.139
2022-05-15 00:56:06+02,84b67d46-e42b-48b0-b810-582f0993ede4,2.069
2022-05-15 01:49:09+02,00060378-0001-4444-8888-acdc00000001,2.059
2022-05-15 03:02:16+02,c0c4e510-c7b0-46b4-564b-808a6439cc0d,2.119
2022-05-15 03:41:07+02,00061250-0001-4444-8888-acdc00000001,2.069
2022-05-15 04:05:07+02,d0f12997-7966-45e0-9cd5-af07cd383fec,2.109
2022-05-15 04:06:06+02,1e783c9c-c088-4c89-a5df-51496e070610,2.079
2022-05-15 04:08:07+02,43bb7d1b-95c7-4c2b-be35-ede8c34aba31,2.119
2022-05-15 04:08:07+02,9ceb0cff-f034-4757-9595-f318b8d24347,2.119
2022-05-15 04:08:07+02,8e2f6d59-1bce-4e5b-926f-04ae7ee79b6c,2.129
2022-05-15 04:08:07+02,39171395-d89c-458c-8df9-9c2635f84fa4,2.109
2022-05-15 04:15:08+02,0868c839-f0cd-4ceb-a53c-4a6de271b606,2.129
2022-05-15 04:15:08+02,463e8599-d06e-44bf-b175-75fa151595f9,2.029
2022-05-15 04:15:08+02,b183729b-82b0-4982-bbfd-b9a2da12f0c3,2.119
2022-05-15 04:15:08+02,b18da4e2-c8e4-4b07-b8f9-ddf7cc08e1a4,2.099
2022-05-15 04:15:08+02,c5c5e0eb-86fe-4025-9b6b-8dc8e380fabd,2.069
2022-05-15 04:15:08+02,b610a44c-d4ac-4c54-8086-2c475b6ca2a4,2.099
2022-05-15 04:15:08+02,0da31138-3807-4ef1-8df0-056d0f657f1c,2.059
2022-05-15 04:15:08+02,f9849d77-faed-4730-8755-d4db80e65d62,2.099
2022-05-15 04:15:08+02,0b81a1cf-09c6-4320-9208-0e078a1500f8,2.029
2022-05-15 04:15:08+02,3b207ac2-4b54-41e8-99ac-70f7f54e7b50,2.109
2022-05-15 04:19:08+02,b1e1371c-f326-48d4-9d4d-aa78d8a13436,2.119
2022-05-15 04:19:08+02,51ec0699-01aa-4bbc-bc9c-62755858777a,2.089
2022-05-15 04:21:08+02,51ec0699-01aa-4bbc-bc9c-62755858777a,2.089
2022-05-15 04:24:08+02,81d72fa3-5270-45af-816f-ba0abb7776f4,2.089
2022-05-15 04:25:07+02,a3ba3fce-9368-4fa9-a74f-ff108206e6b0,2.059
2022-05-15 04:25:07+02,b2fd61b4-2b7e-4ff9-8486-300046ada109,2.099
2022-05-15 04:26:08+02,142908db-78af-4172-b1bd-04aa5c4cd2d6,2.139
2022-05-15 04:28:07+02,6efb33e3-c8f3-49e1-aad9-6bad567917a3,2.119
2022-05-15 04:30:09+02,c5fb7246-27b8-4c63-9d87-16f9d6cbc493,2.019
2022-05-15 04:39:09+02,a48c7e03-b24a-4f55-9a8a-89b273d52bfb,2.129
2022-05-15 04:39:09+02,00060073-0002-4444-8888-acdcffffffff,2.029
2022-05-15 04:45:09+02,00060072-0001-4444-8888-acdcffffffff,2.029
2022-05-15 04:47:07+02,7ded99f8-270f-4b79-a4c4-4172e969dd9c,2.029
2022-05-15 04:48:09+02,beea8dec-e1db-4715-ae36-da7ee26287fe,2.089
2022-05-15 04:50:08+02,f3113127-b8b4-413a-6fea-8a0463594181,2.129
2022-05-15 04:50:08+02,9b79ce29-8e4d-433a-895c-09f3eb005a48,2.129
2022-05-15 04:50:08+02,11652441-f3fc-4fc9-a87a-664db366b5af,2.189
2022-05-15 04:51:08+02,00060889-0007-4444-8888-acdcffffffff,2.029
2022-05-15 04:52:09+02,6525743f-9791-4bfe-a0c4-138983dbae56,2.129
2022-05-15 04:52:09+02,5a8ff352-856e-451a-b38f-bd17f2b0a13c,2.189
2022-05-15 04:52:09+02,b89a7315-ac19-4ea5-919b-80c76722888d,2.129
2022-05-15 04:54:09+02,e7610360-d0e7-42d2-a4f9-343336b0020f,2.129
2022-05-15 04:56:07+02,157d9fc7-d567-45a9-94ec-6bced00532ca,2.229
2022-05-15 05:01:06+02,c784fc4a-a58b-4085-a197-29e514d51bec,2.229
2022-05-15 05:01:06+02,78a9825e-4eb5-480b-b78b-0863f26ba9f7,2.229
2022-05-15 05:01:06+02,8650600d-1a0a-4d65-9060-1077d204ca6e,2.229
2022-05-15 05:01:06+02,b49a8e3c-ec55-48b9-aef8-e39bdbe88edb,2.229
2022-05-15 05:01:06+02,14853398-0aff-41f4-8297-ecaa23bc56e4,2.229
2022-05-15 05:01:06+02,0506b966-2ef9-48b0-a698-741a336e6dd7,2.219
2022-05-15 05:01:06+02,e6cbf50a-bf7d-4156-a7c4-e281d364d964,2.229
2022-05-15 05:01:06+02,da105a81-a8a9-4679-a6a7-635410d5f97a,2.219
2022-05-15 05:01:06+02,f7bd79e6-d533-4c54-a65a-058445030f28,2.229
2022-05-15 05:01:06+02,033bce61-7584-45e7-94dd-952fd0b4899c,2.229
2022-05-15 05:01:06+02,045eb202-7140-47c9-8e1e-a776e740cc04,2.229
2022-05-15 05:01:06+02,819c2774-c80a-4202-8531-c67ff37bd66b,2.219
2022-05-15 05:01:06+02,6509189f-29e9-4774-b628-f95cfde5b971,2.229
2022-05-15 05:01:06+02,50b797b5-77d3-4fba-9fa7-ee3670ac37c6,2.229
2022-05-15 05:01:06+02,40acc448-0bc6-463c-be68-2717086a729e,2.229
2022-05-15 05:01:06+02,7e90510b-3fc8-48d4-9dbe-d69ac101e092,2.229
2022-05-15 05:01:06+02,242e02a3-cc2a-43bd-af84-90f76cefe920,2.229
2022-05-15 05:01:06+02,f3425460-bc40-4632-a1e1-023d71e04a7e,2.229
2022-05-15 05:01:06+02,72816128-fbc4-49d9-a6a0-ec179b84cbb6,2.229
2022-05-15 05:01:06+02,02f7b4a2-98f0-4c9a-8cf7-b3f2fc4a1411,2.119
2022-05-15 05:01:06+02,46bba2f8-b3a4-4f5c-af4e-15d4226641cf,2.149
2022-05-15 05:01:06+02,d6dfc8b9-c38b-4f72-8e18-de6e4ca60d2d,2.159
2022-05-15 05:01:06+02,35a865a4-ea2c-4f98-b0e1-dd395e6f2b53,2.159
2022-05-15 05:01:06+02,8ccb74e7-5ad5-43fa-9322-5987a1754f10,2.159
2022-05-15 05:01:06+02,9d71271b-877f-4fc4-8a07-28c39b736bb4,2.159
2022-05-15 05:01:06+02,047b02b8-dcb5-4161-9a3a-17738a6833b8,2.159
2022-05-15 05:01:06+02,21c3db2d-cb5c-46d0-bb97-3b740504aaca,2.159
2022-05-15 05:01:06+02,1b008ee6-78ea-4485-ab1d-7212a393b471,2.159
2022-05-15 05:01:06+02,2ba60331-fdda-4145-b49c-d2defabb22b6,2.159
2022-05-15 05:01:06+02,7cc35776-d40d-4905-9483-b00af3a7fa31,2.159
2022-05-15 05:01:06+02,7f196071-c7aa-4185-ac68-eb4e82214fe1,2.159
2022-05-15 05:01:06+02,3fe2b49e-b7f8-4d1a-b192-b5d286a5e3d5,2.159
2022-05-15 05:01:06+02,bea44f32-8f13-4e99-b511-0a509d4b248d,2.159
2022-05-15 05:01:06+02,268b0926-baff-496f-81ed-70d6c41c8f52,2.159
2022-05-15 05:01:06+02,d1dc978b-681c-4ab1-bf36-145c1b979021,2.159
2022-05-15 05:01:06+02,96798dcf-0847-407a-b1e3-47e9840132bc,2.159
2022-05-15 05:01:06+02,604f53f3-d8a2-4c62-a8df-8aa37d65b4cd,2.159
2022-05-15 05:01:06+02,6f9b92c0-aa67-44f1-a817-af95d72ee26c,2.159
2022-05-15 05:01:06+02,b70acfd2-f254-469a-91b9-95e6c571432f,2.079
2022-05-15 05:01:06+02,493540d2-189a-412a-a5c8-12b01ecb2cce,2.159
2022-05-15 05:01:06+02,783cc04b-2bbf-464a-a3e8-26d7faa2f6ed,2.159
2022-05-15 05:01:06+02,4640967f-dfc1-4644-b830-dae845a7e166,2.139
2022-05-15 05:01:06+02,80fc199d-2bd0-4065-85a2-36b9c44bfd92,2.159
2022-05-15 05:01:06+02,27765b48-2af0-4e2f-8ae9-0736570a2f15,2.079
2022-05-15 05:01:06+02,a04447ea-6a1b-44ce-a055-132015b56274,2.119
2022-05-15 05:01:06+02,a9e7e57e-a076-40af-91c2-168031d6dac4,2.109
2022-05-15 05:01:06+02,bafeb789-134a-40f0-aeee-b2e6ce5ff49a,2.159
2022-05-15 05:01:06+02,48c65baf-59c0-4c73-ad7c-73da5bb0e059,2.159
